cid,exp,raw,gims,uniform,vw,Lambda,N
91757,-5.7500,-12.8131,-8.8764,-9.5189,-8.8730,0.957700,41
91760,-11.4300,-10.3784,-7.3997,-7.8446,-7.4053,0.942129,34
91763,-16.0400,-14.4169,-9.5240,-10.1776,-9.5659,0.924960,43
91766,-13.1600,-13.5668,-9.5364,-10.1789,-9.5777,0.953370,44
91771,-5.9900,-16.7377,-12.4926,-13.1900,-12.3298,0.958946,58
91776,-6.3700,-13.6623,-9.3200,-10.0277,-9.3022,0.957449,43
92304,-2.4500,-11.0403,-7.5563,-7.9761,-7.5541,0.911195,34
92383,-11.0100,-14.3201,-9.3419,-10.1584,-9.2855,0.958619,43
92389,-14.2200,-8.7086,-5.8411,-6.3223,-5.8014,0.962983,27
92401,-6.9300,-11.9148,-8.4525,-9.0003,-8.3556,0.952019,39
92420,-16.4300,-16.0056,-10.5267,-11.1735,-10.7527,0.908674,47
92421,-10.1850,-9.7470,-7.3257,-7.7192,-7.2689,0.956917,34
92425,-6.2700,-12.9923,-8.8629,-9.5545,-8.8429,0.962620,41
92430,-4.6100,-16.7892,-12.4762,-13.2003,-12.4446,0.963080,58
93031,-3.3900,-7.4097,-4.3740,-4.8736,-4.3707,0.959276,20
93200,-9.3600,-13.3679,-9.5458,-10.1394,-9.5373,0.948731,44
93365,-5.5100,-16.6990,-11.9737,-12.6720,-11.9792,0.940372,55
93422,-16.7900,-7.8952,-5.0647,-5.4803,-5.0537,0.939328,23
93460,-11.1200,-12.1607,-8.6789,-9.2192,-8.6597,0.948615,40
93483,-11.0400,-11.9426,-8.2923,-8.8357,-8.2558,0.941560,38
93486,-5.4300,-14.4992,-9.8218,-10.5341,-9.7676,0.945369,45
93488,-11.7200,-11.9362,-8.0057,-8.6643,-7.9933,0.962729,37
93516,-5.5200,-13.9039,-9.3236,-10.0757,-9.2988,0.958851,43
93532,-9.1400,-13.7974,-10.3229,-10.9051,-10.2804,0.962711,48
93539,-10.0900,-12.8693,-8.6762,-9.1898,-8.8364,0.913265,39
93542,-7.7000,-12.6375,-8.7359,-9.3139,-8.7233,0.940765,40
94654,-13.5300,-13.4579,-8.8880,-9.6469,-8.8510,0.960984,41
94686,-5.1500,-15.9539,-10.6338,-11.5035,-10.5877,0.957998,49
104926,-5.0900,-13.7153,-10.1441,-10.7187,-10.0645,0.955048,47
137942,-4.7300,-7.6091,-4.9994,-5.4235,-4.9578,0.956925,23
188653,-6.4900,-13.9739,-9.9424,-10.5999,-9.9342,0.957586,46
439250,0.0900,-7.7443,-5.6209,-5.9607,-5.6404,0.954073,26
440917,0.0800,-7.7444,-5.6209,-5.9607,-5.6404,0.954074,26
443161,0.4800,-7.5853,-5.6335,-5.9291,-5.6335,0.944447,26
520198,-3.6050,-8.0311,-5.0294,-5.5073,-5.0169,0.953150,23
571084,-7.7300,-13.2605,-9.3121,-9.9479,-9.2464,0.955231,43
616765,-11.5600,-14.1800,-8.7468,-9.6202,-8.6975,0.954904,40
637564,-4.6400,-3.3908,-3.1928,-3.2249,-3.1843,0.956858,15
639662,1.6500,-5.0605,-4.4883,-4.5772,-4.4859,0.948791,21
780355,-8.5500,-9.1896,-5.8826,-6.4178,-5.8316,0.956142,27
2734819,-10.8400,-4.7572,-3.4774,-3.6664,-3.4317,0.940296,16
3032472,-8.6700,-8.6385,-5.7567,-6.1383,-5.7834,0.923692,26
3033865,-6.5700,-7.6217,-6.4924,-6.6167,-6.5077,0.900583,30
3034378,-7.6500,-10.7515,-7.1878,-7.7486,-7.1716,0.951064,33
3034380,-8.4100,-15.7548,-12.6458,-13.1649,-12.6279,0.962054,59
3064581,-7.8600,-14.8136,-11.2048,-11.7873,-11.1690,0.955655,52
3650359,-4.8700,-8.3814,-5.6520,-6.0872,-5.6015,0.953419,26
4560140,-8.2800,-13.3961,-9.5375,-10.1450,-9.5182,0.951148,44
5281875,-5.5300,-17.9465,-12.7263,-13.6002,-12.8014,0.962529,59
5283324,-3.4500,-5.6256,-4.9192,-5.0296,-4.9099,0.949887,23
5371562,-12.3900,-9.8466,-6.0942,-6.7184,-6.0857,0.961301,28
5372405,-7.7900,-11.9552,-8.0156,-8.6681,-7.9768,0.960483,37
6434488,-3.2700,-13.8974,-9.9383,-10.5847,-9.9145,0.957777,46
9809914,-18.0100,-14.0858,-10.5878,-11.1324,-10.5792,0.949199,49
9839306,-5.7000,-14.3485,-9.9478,-10.6743,-9.9367,0.959857,46
10130703,-4.7200,-9.1529,-6.3039,-6.7507,-6.2451,0.950482,29
10243180,-4.4800,-9.9242,-6.9528,-7.4142,-6.8881,0.948733,32
10342051,-5.3400,-14.7106,-11.1868,-11.7668,-11.1382,0.959307,52
10445500,-4.1200,-11.4607,-8.2476,-8.7400,-8.1748,0.946437,38
12303035,-3.6300,-4.4517,-5.0473,-4.9666,-5.1696,0.927001,24
12309466,-5.9133,-5.9430,-5.3774,-5.4328,-5.5365,0.888435,25
12767955,-10.1400,-13.3835,-8.8735,-9.6322,-8.8469,0.963474,41
12963416,-2.1200,-4.9952,-3.4746,-3.7137,-3.4548,0.950893,16
13399558,-1.5700,-4.3458,-3.4515,-3.5847,-3.3990,0.941701,16
13453985,-9.2400,-14.6847,-9.5183,-10.2308,-9.5991,0.929605,43
14088492,-4.2600,-8.1158,-5.2465,-5.6943,-5.2378,0.949588,24
14152665,-4.0900,-19.0945,-12.3692,-13.4880,-12.3406,0.961317,57
14486914,-3.2500,-8.5743,-5.6837,-6.1255,-5.6542,0.945979,26
14517037,-6.8400,-15.2918,-11.4286,-12.0524,-11.4299,0.955710,53
15415132,-3.8600,-8.7621,-5.6691,-6.1628,-5.6262,0.953614,26
17087326,-1.8400,-4.9844,-3.5019,-3.7115,-3.4500,0.933364,16
20056438,-9.7200,-15.3933,-9.8082,-10.7117,-9.7936,0.956065,45
20143854,-15.9200,-11.4294,-7.6116,-8.2235,-7.6193,0.954355,35
23273735,-4.0700,-7.9715,-5.0214,-5.4955,-4.9877,0.954861,23
23273899,-4.4000,-8.4671,-5.2501,-5.7640,-5.2181,0.953761,24
23273903,-3.9500,-9.0935,-5.7066,-6.2286,-5.6691,0.947421,26
23274096,-4.5800,-9.5305,-5.9136,-6.4855,-5.9072,0.951920,27
23274367,-2.8800,-9.9811,-6.9786,-7.4255,-6.9238,0.941560,32
23369115,-2.3000,-11.6676,-8.2809,-8.7811,-8.2255,0.940272,38
24693218,-2.4300,-4.5678,-3.4612,-3.6288,-3.4054,0.944463,16
24983781,-6.5600,-7.4913,-5.6073,-5.9104,-5.5707,0.955066,26
40490638,-8.0700,-15.0251,-11.9961,-12.5097,-11.9841,0.965022,56
54678486,-1.6100,-11.6969,-8.4169,-8.9570,-8.3660,0.959372,39
54680085,-10.4400,-16.5705,-12.4653,-13.1568,-12.3745,0.963737,58
54698175,-14.4500,-18.7161,-13.9833,-14.7737,-13.9552,0.962059,65
60015509,-3.4300,-7.6559,-5.0204,-5.4328,-4.9930,0.950058,23
66874082,-6.8800,-8.4769,-6.0522,-6.4464,-6.0290,0.956969,28
66954155,-2.0100,-5.1579,-3.4989,-3.7460,-3.4546,0.941641,16
67517846,-10.2800,-11.6981,-8.2600,-8.7871,-8.2271,0.946533,38
71353487,-1.8000,-5.2803,-3.4898,-3.7703,-3.4543,0.950275,16
91086001,-1.7300,-4.9293,-3.5032,-3.7006,-3.4557,0.930159,16
135424353,-9.5600,-10.9492,-7.3912,-7.9580,-7.3914,0.953266,34
135424354,-9.4900,-10.2199,-7.3679,-7.8131,-7.3466,0.949645,34
135503327,-12.5600,-14.6791,-11.0190,-11.5905,-10.9477,0.949671,51
136149339,-13.3000,-10.4168,-6.7023,-7.1718,-6.7831,0.917374,30
166713026,-12.1900,-16.0304,-10.8274,-11.6887,-10.7610,0.960393,50
